_id,date,type,userName,amount,description,products[0].SKU,products[1].SKU,products[2].SKU,products[0].heb,products[0].Inventory,products[1].Inventory,products[2].Inventory,products[0][0].Inventory,products[0][1].Inventory,products[0][2].Inventory,products[0][3].Inventory,products[0][4].Inventory,products[0][5].Inventory,products[0][6].Inventory,products[0][7].Inventory,products[0][8].Inventory,products[0][9].Inventory,products[0][10].Inventory,products[0][11].Inventory,products[0][12].Inventory,products[0][13].Inventory,products[0][14].Inventory,products[0][15].Inventory,products[0][16].Inventory,products[0][17].Inventory,products[0][18].Inventory,products[0][19].Inventory,products[0][20].Inventory,products[0][21].Inventory,products[0][22].Inventory,products[0][23].Inventory,products[0][0].SKU,products[0][1].SKU,products[0][2].SKU,products[0][3].SKU,products[0][4].SKU,products[0][5].SKU,products[0][6].SKU,products[0][7].SKU,products[0][8].SKU,products[0][9].SKU,products[0][10].SKU,products[0][11].SKU,products[0][12].SKU,products[0][13].SKU,products[0][14].SKU,products[0][15].SKU,products[0][16].SKU,products[0][17].SKU,products[0][18].SKU,products[0][19].SKU,products[0][20].SKU,products[0][21].SKU,products[0][22].SKU,products[0][23].SKU,products[0]._id,products[1]._id,products[2]._id,products[0].Description-Heb,products[1].Description-Heb,products[2].Description-Heb,products[0].Description-Eng,products[1].Description-Eng,products[2].Description-Eng,products[0].Cost,products[1].Cost,products[2].Cost,products[0].Price,products[1].Price,products[2].Price,products[0].USDPrice,products[1].USDPrice,products[2].USDPrice,products[0].MinimumLevel,products[1].MinimumLevel,products[2].MinimumLevel,products[0].LastUpdate,products[1].LastUpdate,products[2].LastUpdate,products[0].Location,products[1].Location,products[2].Location,SKUs[0],SKUs[1],SKUs[2],SKUs[3],SKUs[4],SKUs[5],SKUs[6],SKUs[7],SKUs[8],SKUs[9],SKUs[10],SKUs[11],SKUs[12],SKUs[13],SKUs[14],SKUs[15],SKUs[16],SKUs[17],SKUs[18],SKUs[19],SKUs[20],SKUs[21],SKUs[22],SKUs[23],products[0].SortOrder,products[1].SortOrder,products[2].SortOrder
65a81c05849955e9581ae2d8,2024-01-17T16:29:26.906Z,Starting Up,Gilad,0,Set up first log,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a826ed0b9b0022749b0aa8,2024-01-17T19:13:48.250Z,Updated 10000000001,no-user,1,Updated 10000000001 - undefined,10000000001,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a826f20b9b0022749b0aa9,2024-01-17T19:13:48.253Z,Bulk Update,no-user,1,Bulk update,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,10000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82783083f275e10d6e7aa,2024-01-17T19:16:17.538Z,Updated 11145000000 in bulk update,no-user,1,Updated 11145000000 - Inventory: 5,11145000000,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82783083f275e10d6e7ab,2024-01-17T19:16:17.541Z,Bulk Update,no-user,1,Bulk update,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,11145000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82791083f275e10d6e7ad,2024-01-17T19:16:33.364Z,Updated 11145000000 in bulk update,no-user,1,Updated 11145000000 - Inventory: 4,11145000000,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82791083f275e10d6e7ac,2024-01-17T19:16:33.364Z,Updated 10000000001 in bulk update,no-user,1,Updated 10000000001 - Inventory: 92,10000000001,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82791083f275e10d6e7ae,2024-01-17T19:16:33.365Z,Bulk Update,no-user,2,Bulk update,,,,,,,,92,4,,,,,,,,,,,,,,,,,,,,,,,10000000001,11145000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a828cb083f275e10d6e7af,2024-01-17T19:21:47.039Z,Updated 10000050000,no-user,2,Updated 10000050000 - פתיל ראבד 7,10000050000,,,,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65a65096c7577fa2d8246faf,,,פתיל ראבד 7,,,Strings Raavad 7,,,70.2,,,108,,,35,,,5,,,2024-01-17T18:14:46.364Z,,,C-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a828fe083f275e10d6e7b1,2024-01-17T19:22:38.980Z,Bulk Update,no-user,1,Bulk update,,,,,,,,485,,,,,,,,,,,,,,,,,,,,,,,,10000050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
